height_m,trial_label,method,dt1_s,dt2_s,dt3_s
0.315,h0=0.315 m trial 1,own_fit,0.24827207099999882,0.25428796799999986,
0.315,h0=0.315 m trial 2,own_fit,0.2514195699999995,0.25243406199999896,
0.315,h0=0.315 m trial 3,own_fit,0.36153738299999816,0.3720019530000016,
0.315,h0=0.315 m trial 5,own_fit,0.3682893749999998,0.4942973049999999,
0.315,h0=0.315 m trial 6,own_fit,0.48513960899999375,0.3670264450000005,
0.315,h0=0.315 m trial 7,own_fit,0.24702214799999922,0.2533606640000059,
0.315,h0=0.315 m trial 8,own_fit,0.24739136700000586,0.24396210999999823,
0.315,h0=0.315 m trial 10,own_fit,0.24761331999999925,0.23819562500000302,0.2388807419999992
0.315,h0=0.315 m trial 13,own_fit,0.3512544530000099,0.22287914099999284,
0.315,h0=0.315 m trial 15,own_fit,0.3531529689999928,0.4815045309999988,
0.315,h0=0.315 m trial 0 (rescued),shared_slope_rescue,0.2568888280000001,,
0.315,h0=0.315 m trial 4 (rescued),shared_slope_rescue,0.23707035099999985,,
0.315,h0=0.315 m trial 9 (rescued),shared_slope_rescue,0.23578941399999565,,
0.315,h0=0.315 m trial 11 (rescued),shared_slope_rescue,0.3692424999999986,,
0.315,h0=0.315 m trial 12 (rescued),shared_slope_rescue,0.4464208979999995,,
0.315,h0=0.315 m trial 14 (rescued),shared_slope_rescue,0.22306273399999554,,
0.315,h0=0.315 m trial 16 (rescued),shared_slope_rescue,0.3470580860000041,,
0.415,h0=0.415 m trial 0,own_fit,0.4826676170000006,0.23894871099999904,
0.415,h0=0.415 m trial 1,own_fit,0.36585156299999966,0.256163398,
0.415,h0=0.415 m trial 2,own_fit,0.4875994139999982,0.2275993750000005,
0.415,h0=0.415 m trial 3,own_fit,0.3790964840000015,0.2411676949999979,
0.415,h0=0.415 m trial 4,own_fit,0.36192902300000185,0.48013402299999797,
0.415,h0=0.415 m trial 5,own_fit,0.35653832100000216,0.25000652299999615,
0.415,h0=0.415 m trial 7,own_fit,0.48028039100000086,0.25441191399999497,
0.415,h0=0.415 m trial 8,own_fit,0.3686232419999982,0.24319621100000433,
0.415,h0=0.415 m trial 9,own_fit,0.35166656200000546,0.24331124999999076,
0.415,h0=0.415 m trial 10,own_fit,0.3602389450000061,0.23778449200000296,0.25225675800000147
0.415,h0=0.415 m trial 11,own_fit,0.3580095700000072,0.23856167999998945,0.24947140600001205
0.415,h0=0.415 m trial 12,own_fit,0.3741380860000021,0.2386873039999955,
0.415,h0=0.415 m trial 13,own_fit,0.3761378119999961,0.24264570300000798,
0.415,h0=0.415 m trial 6 (rescued),shared_slope_rescue,0.3729960160000019,,
0.515,h0=0.515 m trial 0,own_fit,0.4879189850000001,0.25154042899999984,
0.515,h0=0.515 m trial 1,own_fit,0.36003398500000117,0.49257249999999964,
0.515,h0=0.515 m trial 2,own_fit,0.487915859000001,0.23910871100000008,
0.515,h0=0.515 m trial 3,own_fit,0.47803332000000154,0.24464339899999743,
0.515,h0=0.515 m trial 5,own_fit,0.384905272999994,0.24301043000000533,0.23678355399999873
0.515,h0=0.515 m trial 6,own_fit,0.36840550800000216,0.3675652740000004,0.47309007799999847
0.515,h0=0.515 m trial 7,own_fit,0.49348378900000256,0.2482151179999974,
0.515,h0=0.515 m trial 8,own_fit,0.36179250000000707,0.23960894500000052,
0.515,h0=0.515 m trial 10,own_fit,0.4868562889999879,0.23868043000000227,
0.515,h0=0.515 m trial 13,own_fit,0.3746970309999966,0.24029749999999694,0.24895191400000272
0.515,h0=0.515 m trial 4 (rescued),shared_slope_rescue,0.36648023400000085,,
0.515,h0=0.515 m trial 9 (rescued),shared_slope_rescue,0.3587236709999928,,
0.515,h0=0.515 m trial 11 (rescued),shared_slope_rescue,0.37259242199999676,,
0.515,h0=0.515 m trial 12 (rescued),shared_slope_rescue,0.3647389059999995,,
0.515,h0=0.515 m trial 14 (rescued),shared_slope_rescue,0.4925499609999946,,
0.615,h0=0.615 m trial 0,own_fit,0.3826541800000003,0.3601136330000001,0.48584519500000045
0.615,h0=0.615 m trial 1,own_fit,0.49060421799999965,0.24062636700000084,
0.615,h0=0.615 m trial 2,own_fit,0.3623889059999996,0.3714489070000013,0.4937310150000016
0.615,h0=0.615 m trial 3,own_fit,0.49029492200000035,0.24797339799999918,
0.615,h0=0.615 m trial 4,own_fit,0.48372464900000267,0.49368453099999954,0.4888240229999994
0.615,h0=0.615 m trial 5,own_fit,0.360308437999997,0.3699996870000035,0.3624034380000012
0.615,h0=0.615 m trial 6,own_fit,0.4930708199999998,0.23536629000000175,
0.615,h0=0.615 m trial 7,own_fit,0.4853145310000002,0.24927531299999828,
0.615,h0=0.615 m trial 8,own_fit,0.4779235549999967,0.4976404690000038,0.4945126559999977
0.615,h0=0.615 m trial 9,own_fit,0.48780683500000066,0.4913373830000083,0.484313788999998
0.615,h0=0.615 m trial 10,own_fit,0.47163898499999846,0.23758910100001174,
0.615,h0=0.615 m trial 12,own_fit,0.3686026569999967,0.37140335899999855,
0.615,h0=0.615 m trial 13,own_fit,0.49329582000000016,0.35453410200000235,0.49332554699999775
0.615,h0=0.615 m trial 14,own_fit,0.4897264459999917,0.2459071090000009,0.24555371099999945
0.615,h0=0.615 m trial 11 (rescued),shared_slope_rescue,0.3665392179999998,,
0.715,h0=0.715 m trial 0,own_fit,0.4898064839999998,0.2364605860000002,
0.715,h0=0.715 m trial 1,own_fit,0.4887866800000005,0.36943050800000066,
0.715,h0=0.715 m trial 2,own_fit,0.46812792999999786,0.3453218360000001,0.37173285100000086
0.715,h0=0.715 m trial 3,own_fit,0.45511413999999917,0.3493495710000012,
0.715,h0=0.715 m trial 4,own_fit,0.4599057809999998,0.34935089900000094,0.36133121099999954
