height_m,g,g_stat_err,g_syst_err,g_total_err,chi2_ndf,n_trials_full,n_trials_rescued
0.3,8.7479,3.0328,0.5832,3.0884,0.215,5,0
0.4,5.9174,1.7822,0.2959,1.8066,0.931,3,2
0.5,5.3227,1.7431,0.2129,1.7561,0.691,5,0
0.6,10.8528,1.5910,0.3618,1.6316,1.065,4,1
0.7,15.4358,2.9124,0.4410,2.9457,1.839,4,1
0.8,11.3281,2.3205,0.2832,2.3378,1.225,4,1
0.9,3.4247,0.6123,0.0761,0.6170,3.367,5,0
1.0,10.2353,2.3831,0.2047,2.3919,1.377,5,0
1.1,3.0576,0.4515,0.0556,0.4549,7.339,5,1
1.2,12.8043,2.2687,0.2134,2.2787,0.816,5,0

overall,4.3857,0.3263,0.0429,0.3291,8.208,,
