height_m,g,g_stat_err,g_syst_err,g_total_err,chi2_ndf,n_trials_full,n_trials_rescued
0.3,12.7765,1.5289,0.8518,1.7502,0.554,13,7
0.4,9.9641,1.0729,0.4982,1.1829,1.006,13,7
0.5,8.2469,0.9372,0.3299,0.9935,1.422,15,5
0.6,8.7116,1.2180,0.2904,1.2521,0.933,19,0
0.7,13.7960,1.3528,0.3942,1.4090,0.302,19,1
0.8,8.3464,0.7769,0.2087,0.8044,2.240,18,2
0.9,13.8441,1.3758,0.3076,1.4098,0.452,20,0
1.0,10.1265,0.9567,0.2025,0.9779,0.764,20,1
1.1,8.8890,0.6067,0.1616,0.6278,2.150,20,4
1.2,8.4726,0.5858,0.1412,0.6025,0.904,20,2
1.3,10.0856,0.8539,0.1552,0.8679,0.953,19,1
1.4,11.2693,0.9356,0.1610,0.9494,1.353,22,0
1.49,8.6734,0.6277,0.1164,0.6384,0.618,19,1

overall,9.4622,0.2382,0.0640,0.2467,3.293,,
